course_title,skills,job_role
The Complete 2023 Web Development Bootcamp,,Frontend Developer
Angular - The Complete Guide (2023 Edition),,Frontend Developer
Java Programming Masterclass updated to Java 17,,Backend Developer
"React - The Complete Guide (incl Hooks, React Router, Redux)",,Frontend Developer
The Complete JavaScript Course 2023: From Zero to Expert!,,Backend Developer
Machine Learning A-Z™: Python & R in Data Science [2023],,ML Engineer
Python for Data Science and Machine Learning Bootcamp,,ML Engineer
The Data Science Course 2023: Complete Data Science Bootcamp,,Data Scientist
Selenium WebDriver with Java -Basics to Advanced+Frameworks,,Backend Developer
Build Responsive Real-World Websites with HTML and CSS,,ML Engineer
iOS & Swift - The Complete iOS App Development Bootcamp,,Mobile App Developer
Modern React with Redux [2023 Update],,Data Analyst
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,,Data Analyst
The Complete Web Developer Course 3.0,,Full Stack Developer
The Complete Node.js Developer Course (3rd Edition),,Backend Developer
Spring & Hibernate for Beginners (includes Spring Boot),,Backend Developer
The Complete Web Developer in 2023: Zero to Mastery,,Full Stack Developer
Flutter & Dart - The Complete Guide [2023 Edition],,Frontend Developer
Vue - The Complete Guide (incl. Router & Composition API),,Backend Developer
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,,ML Engineer
Docker and Kubernetes: The Complete Guide,,Frontend Developer
R Programming A-Z™: R For Data Science With Real Exercises!,,Data Scientist
The Complete Flutter Development Bootcamp with Dart,,Mobile App Developer
Python and Django Full Stack Web Developer Bootcamp,,Backend Developer
JavaScript: Understanding the Weird Parts,,Backend Developer
Master Microservices with Spring Boot and Spring Cloud,,Backend Developer
The Complete React Native + Hooks Course,,Frontend Developer
Deep Learning A-Z™: Hands-On Artificial Neural Networks,,ML Engineer
SQL for Beginners: Learn SQL using MySQL and Database Design,,Data Analyst
The Complete Oracle SQL Certification Course,,Data Analyst
Understanding TypeScript,,Frontend Developer
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",,Frontend Developer
"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)",,Backend Developer
Apache Kafka Series - Learn Apache Kafka for Beginners v3,,Data Engineer
Statistics for Data Science and Business Analysis,,Data Scientist
HTML and CSS for Beginners - Build a Website & Launch ONLINE,,ML Engineer
Data Science A-Z™: Real-Life Data Science Exercises Included,,Data Scientist
Java Programming for Complete Beginners,,Backend Developer
iOS 11 & Swift 4 - The Complete iOS App Development Bootcamp,,Mobile App Developer
Go: The Complete Developer's Guide (Golang),,Frontend Developer
React Native - The Practical Guide [2023],,Frontend Developer
Modern JavaScript From The Beginning,,Data Analyst
Rest API Testing (Automation) from Scratch-Rest Assured Java,,Backend Developer
"Machine Learning, Data Science and Deep Learning with Python",,ML Engineer
The Complete Android N Developer Course,,Mobile App Developer
"DevOps , CI/CD(Continuous Integration/Delivery for Beginners",,DevOps Engineer
