search_history,job_role
"DevOps For Beginners: Saving Your Code From The Apocalypse | Learn DevOps from the Scratch for Absolute Beginners | PRTG Network Monitoring Course with LAB | Data Engineering for Beginner using Google Cloud & Python | DevOps Project: CICD with Git GitLab Jenkins  and Laravel | ELASTIC 8: Monitoring with Elasticsearch, Kibana, Beats, APM | Introduction to Jenkins… | Jenkins Unlocked: 4-In-One",DevOps Engineer
"AP® Physics 2 - Part 3:Optics and ModernPhysics… | Microsoft 70-466:Implementing Data Models & Reports | Master Microsoft Excel, PowerPoint and Word 2013 - 27 Hours | Data Science: A New Wayof Thinking | 数据科学导论… | Automate repetitive tasks with Excel Macros | SQL Server 2017x - Performance Tuning & Advance Utility | SAP Analytics Cloud (SAC) Certification Training | Reporting Financial Results When Earnings Are Disappointing | 3D Modeling fromArchitectural Drawings…",Data Analyst
Become a CRM Manager: overview for Email Marketing starters! | Scientific Python: Data Science Visualization Bundle 18 Hrs! | MECM : Operating System Deployment Training : SCCM,ML Engineer
Learn traditional and Modern Calligraphy | Power BI Masterclass from Scratch in 90 minutes [2023] | Supply Chain Analytics… | gRPC [C#] Master Class: Build Modern API & Microservices | Deploying Your First Resources in Azure | Fingerpicking Blues Guitar Lessons | Excel 2016 Introduction | Learn to Build SQL Query| Ultimate SQL and DataBase Concepts | PHP: Complete Login and Registration System with PHP & MYSQL,Data Analyst
"Docker Foundations | Learn Git, Github and Github Actions for DevOps CI/CD- 2023 | Real world DevOps project from start to finish [02/2023] | iOS Firebase Masterclass - Real time Database and Firestore",DevOps Engineer
Apple macOS and iOS System Administration 2019 | The Math of Data Science: Linear Algebra | Introduction to Data Science | Python Programming with Data Science,Data Scientist
iOS 10 & Objective-C - Complete Developer Course | Cloud Computing in 75 Steps - Start Your AWS Journey | Continuous Deployments using Spinnaker on AWS and Kubernetes | Google Professional Cloud Developer - GCP PCD - Exams - 2023 | Introduction to Microsoft Azure IoT | AWS Certified Cloud Practitioner- Updated:400+ Questions | Packer from Scratch in AWS | AWS Simulated Job Interviews by the AWS Coaches,Cloud Engineer
Ethereum Blockchain Developer Bootcamp With Solidity (2023) | Django with Javascript and Ajax | Blockchain Programming Using Javascript | Learn Ethereum Blockchain & Smart Contracts within 1 Hour | Autodesk Inventor 2020 - Advanced Drawing Training,ML Engineer
Mastering Docker the devops way by School of Devops® | Solidity and Ethereum Devops Fundamentals | Hands-on Infrastructure Automation with Ansible | Grafana and Prometheus - Beginners Friendly Crash Course ! | DevOps: Automate your Infrastructure using Ansible in 9Hours | Data Science Methodology | Learn Docker with .Net Core For Absolute Beginners,DevOps Engineer
Excel in Microsoft Excel 2: Intermediate to Expert advanced | Get Followers And engagement with Facebook  Ads (easy mode) | How to avoid Excel errors and keep your boss happy | Fraud Risk Analytics (Excel & AI based tools) and Prevention | Modeling Count Data using Stata | AWS Certified Data Analytics Specialty 2023 - Hands On! | Natural Language Processing (NLP) in Python with 8 Projects,Data Analyst
"NLP Foundation Certificate Course | Complete Advance Ethical Hacking Keylogger Practical C|AHKP | Web Scraping with Beautiful Soup for Data Science | The Data Science Pro Bootcamp 2022: 75 Projects In 75 Days | NLP For Sales, Persuasion & Influence: Certified NLP & Sales | Python for Data Science Master Course (2022) | Sketchup to Layout, introduce your 3D models | Practical Data Science: Analyzing Stock Market Data with R",Data Scientist
Understand the Aggregator of your Cloud Kitchen Business | KashFlow (IRIS) accounting cloud software course | Real-Time Data Stream Processing In Azure | Certified Kubernetes Application Developer | CKAD Exam 2023 | Full Ethical Hacking Course,Cloud Engineer
"GCP - Google Cloud Professional Data Engineer Practice Tests | Amazon Web Services AWS Interview Preparation | Enterprise Big Data Professional Certification Course | Talend : ETL Data Integration Guide with Talend Open Studio | Spark Scala coding framework, testing, Structured streaming",Data Engineer
The Complete Mobile Ethical Hacking Course | Learn Adobe XD from Scratch | Encryption and Cryptography for Professionals | 5G Network Security: Architecture And Procedures,Cybersecurity Analyst
Salesforce Devops With Salesforce DX | Docker Compose in Depth | Microsoft Azure DevOps Bootcamp | Introduction to Docker | Docker Interview Questions Preparation Course | DOCKER | Step by Step for Beginners | with Sample Project | DevOps Basics forEveryone | Selenium-Python: Code Management(GIT) + Jenkins Integration | Zabbix Network Monitoring Beginner To Pro In 7 Days,DevOps Engineer
"Design Professional CV/Resume for Your Dream Job | Adobe XD | Product Managementwith Lean, Agile andSystem Design Thinking… | A User Experience Approach to Idea Generation and Evaluation | Web Application Penetration Testing | Sense Checking Your Strategy Design Using Design Thinking | App Design with Adobe Xd | Design Thinking:Prototyping and UserTesting… | Cyber Security Penetration Testing Tools Course",UI/UX Designer
Data Engineering on Google Cloud platform | Deep Learning with TensorFlow (beginner to expert level) | Learn to oil paint Gaja Lakshmi (Ashta Laksmi) from scratch,ML Engineer
Mastering QuickBooks v 2015 for Lawyers Training Tutorial | Dividend Investing Main Topic: A New Approach | Using the Campaign Builder in Keap [formerly Infusionsoft] | Salesforce Devops With Salesforce DX | Blockchain in Healthcare: The Complete Guide (2022) | An Introduction to Design Thinking | Yin Yoga Teacher Training Certificate Course | ICDL Course | MS OFFICE Essential training | 4 Course Bundle,ML Engineer
African Guitar Essentials: Rumba/Soukouss/Sebene Tutos | Practical Hands-on Guide for Alexa Skill Development (2022) | React Native: Beginner Practical Guide [2023] | Quickbooks Premier DESKTOP 2017 edition | Ultimate Guide to Drone Applications-Construction Industry-1 | Crowdfunding for Watches: Step-By-Step Guide to Get Funded | QuickBooks Online Accounting Software Bite-Sized Course | UiPath Automation Hub - RPA Intake | Swift 3 - Master Swift Development From Scratch,Frontend Developer
Top Linux Interview Questions & Answers (beginner-advanced) | Business Leader's Guide to Employee Engagement | 7 Days to Awakening: Guided Meditations to Align the Chakras | Ethical Hacking Beginners Course In Hindi,Frontend Developer
"Product Managementwith Lean, Agile andSystem Design Thinking… | User experience research: How to ask the right questions? | The Complete Web Developer Course 3.0 | Personas in User Interface Engineering | Mobile Design Prototyping in Axure RP",UI/UX Designer
CICD (DevOPs Tools) for Automation Testers (Selenium) | Hands-On Continuous Integration and Delivery with Jenkins X | Chef for the Absolute Beginners - DevOps | Introduction to Jenkins | Discovery Precalculus: ACreative and ConnectedApproach…,DevOps Engineer
LIMIT BREAKER Mind/Body Transformation Course (WEEKS 1-4) | Akka Remoting and Clustering with Scala | Rock the JVM | Data Science A-Z™: Real-Life Data Science Exercises Included | Outlier Detection Algorithms in Data Mining and Data Science | Data Science Career Guide - Interview Preparation | Hypnotherapy with Age Regression; Advanced Hypnosis Program | Regression Analysis for Business Managers in Python and R | Learn Java: Natural Language Processing with CoreNLP in Java | Data Science:Hands-on Covid19 Face Mask Detection-CNN&OpenCV,Data Scientist
GET AHEAD- Full stack MERN Web App From Code to Cloud | Top 10 Worst Tableau Designer Mistakes and How to Avoid Them | Quality Assurance for Business and Operational Excellence | Google Analytics Mastery | Excel Keyboard Shortcuts: Editing Cells & Cell Contents | Backup and Restore Fundamentals in PostgreSQL DB - Level 2,Data Analyst
Docker for .Net and Angular Developers | Study Abroad USA:Building Capacity for USInstitutions… | Walking Bass for Guitar | The Ultimate guide to Sketching People from Life | Databricks Essentials for Spark Developers (Azure and AWS) | A Beginner's Meditation Guide to Being Blissful and Mindful | Helicopter Flying - Basics and Normal Procedures | Beginner's Guide to Beats Production | How To Build Your Own Coaching Business Online | Guitar Bootcamp ?A to Z Course for Absolute Beginners,Frontend Developer
Snowflake Advanced - Data Engineer Certification | Learning Adobe Spark from Scratch | Data Engineering with Google BigQuery & Google Cloud | Hadoop MAPREDUCE in Depth | A Real-Time course on Mapreduce | Learn Big Data Analysis with PySpark | Big Data Complete Course | Dog First Aid and Health | Linux for Data Engineers (Hands On) | Design Practice inBusiness: SparkInnovation like a Designer…,Data Engineer
"EVERYTHING YOU want to know about GarageBand IOS, | The Complete ARKit and iOS13 Developer Course | Complex -1 - Reason Studios Propellerhead | Learn Mobile App Development with Ionic Framework | Scripting Essentials for DevOps | Thinking Functionally in Swift",Mobile App Developer
Groovy Programming Fundamentals for Java Developers | Informed Risk Taking : Risk Management Process - Analysis | Snowflake SnowPro Core - Mock Exams | MEVN Project - Vue and Node CMS and Shopping Cart | Algorithms and Data Structures Easy Way Java - job interview | Learning Functional Javascript with Ramda | Object-Oriented Software Engineering with Java | Master Automation with Ansible and Puppet: 4-in-1 | Rest api testing using Postman tool | Classical music appreciation: basics - part II: Form,Backend Developer
14-Day Transformational Detox: Habits for the Soul | Data Science code that appears all the time at workplace | Data Science: MachineLearning | Intro to Data Science: Your Step-by-Step Guide To Starting,Data Scientist
Apache Kafka Series - Kafka Streams for Data Processing | From A Non Programmer To Full Stack .NET Developer | Managing Big Data on Google's Cloud Platform,Data Engineer
Introduction toCybersecurity… | Autodesk Combustion Training Hands-on | Cybersecurity and Privacy in the IoT,Cybersecurity Analyst
"Startup Masterclass: The Ultimate Guide For Young Startups | Medical Intuition, a complete course | Guitar Lessons for the Curious Guitarist | Diversity, Equity, and Inclusion: A Beginner’s Guide | Heart Attack and Diabetes Prediction Project in Apache Spark | Beginner Guitar: You Only Need 6 Chords | The 7 Day Guitar Method | Practical Web Development: 22 Courses in 1",Frontend Developer
The Complete Android Kotlin Developer Course | Flutter Music Player App with State Management from Scratch | Learn Reverse Engineering By Taking Apart Android Games | Intro to Embedded Machine Learning | State of the Art Android App Development in Kotlin | Create Amazing  Native Apps  For Both IOS & Android | Sketch5 + Prototyping: Mobile App Design,Mobile App Developer
Scrivener 3 For Mac Unleashed - Learn Scrivener 3 Quickly | A Guide on How to Start and Monetize a Successful Blog | Songs for Spanish and Classical Guitar | Build Authentic Relationships using Emotional Intelligence | Dart and Flutter From Zero to Hero - Practical Dev Bootcamp | Science & Cooking: From Haute Cuisine to Soft Matter Science (physics) | The Full Adobe XD UI/UX Course – Design & Prototype in 2022 | Cybersecurity For Beginners: MAC & IP Addressing | How To Build A Facebook Messenger Chat Bot From Scratch | React JS Web Development - The Essentials Bootcamp,Frontend Developer
